,Target_test,Prediction_Tree,Prediction_Tree2,Prediction_Logreg,Prediction_Logreg2
1845,0,0,0.0,0,0.03961567818176587
1846,0,0,0.0,0,0.10039063022367789
1847,0,0,0.0,0,0.010454068577555813
1848,0,0,0.0,0,0.007397974257721792
1849,0,0,0.0,0,0.022911643027116704
1850,0,0,0.0,0,0.017914389883709046
1851,0,0,0.0,0,0.056112103657182784
1852,0,0,0.0,0,0.0628123544587568
1853,0,0,0.0,0,0.014066069645407873
1854,0,0,0.0,0,0.09004358163829385
1855,0,0,0.0,0,0.01536380260770811
1856,0,0,0.0,0,0.02117216778642726
1857,0,0,0.0,0,0.08764252773026995
1858,0,0,0.0,0,0.01460520910913627
1859,0,0,0.0,0,0.014467053378116136
1860,0,0,0.0,0,0.0656949748992287
1861,0,0,0.0,0,0.02012832577214898
1862,0,0,0.0,0,0.11431663079573866
1863,1,1,1.0,1,0.7819330396374673
1864,0,0,0.0,0,0.01109287617724822
1865,1,1,1.0,1,0.7264469963800919
1866,0,0,0.0,0,0.2274460113308809
1867,0,0,0.0,0,0.05633495856055601
1868,0,0,0.0,0,0.01370350852221726
1869,0,0,0.0,0,0.015374846757934012
1870,0,0,0.0,0,0.05398657598803449
1871,1,1,1.0,1,0.5863122321040649
1872,0,0,0.0,0,0.008919079427589129
1873,0,0,0.0,0,0.15309780940230028
1874,0,0,0.0,0,0.025364680876185423
1875,0,0,0.0,0,0.04377525978125897
1876,0,0,0.0,0,0.01762608076360765
1877,0,0,0.0,0,0.0386744860261732
1878,0,1,1.0,0,0.4057185879287543
1879,0,0,0.0,0,0.01729181626455678
1880,0,0,0.0,0,0.01813495340294622
1881,1,1,1.0,1,0.8724365473249035
1882,0,0,0.0,0,0.008156065249252527
1883,0,0,0.0,0,0.028066358855227666
1884,1,0,0.0,1,0.5592287070917266
1885,1,0,0.0,0,0.1094049544299878
1886,0,0,0.0,0,0.3759171165230957
1887,1,0,0.0,1,0.5492308752775492
1888,0,0,0.0,0,0.013794730973991896
1889,0,0,0.0,0,0.01454106609619578
1890,0,0,0.0,0,0.12120131933846695
1891,0,0,0.0,0,0.013486283927027574
1892,0,0,0.0,0,0.008923890519285042
1893,0,0,0.0,0,0.008804008365217877
1894,0,1,1.0,1,0.5261818260371868
1895,0,0,0.0,0,0.026571545738603024
1896,0,0,0.0,0,0.06949553430486627
1897,0,0,0.0,0,0.012637479287802298
1898,0,0,0.0,0,0.010656410754053465
1899,0,0,0.0,0,0.012513915704339967
1900,0,0,0.0,0,0.1711380929585391
1901,0,0,0.0,0,0.02634094650118504
1902,0,0,0.0,0,0.01914845873039667
1903,1,1,1.0,0,0.16474913465090218
1904,0,0,0.0,0,0.10641985423192837
1905,0,0,0.0,0,0.00822699367132881
